,crossword_date,answers,clues,crossword_year,day_of_week
57978,2016-11-28,UMPS,"Diamond officials, informally",2016,Monday
57898,2016-11-27,TATS,"Some needlework, informally?",2016,Sunday
58068,2016-11-29,JOE,"Morning beverage, slangily",2016,Tuesday
58652,2016-12-06,TNOTE,"Historically safe investment, informally",2016,Tuesday
58791,2016-12-08,ARNIE,"Schwarzenegger, informally",2016,Thursday
58713,2016-12-07,DEETS,"Specifics, slangily",2016,Wednesday
57222,2016-11-20,BBOYS,"Some break dancers, informally",2016,Sunday
57172,2016-11-19,ANAL,"39-Across, informally",2016,Saturday
57290,2016-11-20,RECS,"Letters teachers send to colleges, informally",2016,Sunday
56954,2016-11-16,EPS,"Mini-albums, informally",2016,Wednesday
57707,2016-11-25,TATERS,"Thanksgiving side dish, informally",2016,Friday
57646,2016-11-24,TREYS,"Baskets made from beyond the arc, informally",2016,Thursday
57825,2016-11-27,DREAMBOAT,"Show, informally + African capital = Adonis",2016,Sunday
57772,2016-11-26,LAMPED,"Clobbered, in British slang",2016,Saturday
57792,2016-11-27,USOFA,"Stars-and-stripes land, informally",2016,Sunday
57773,2016-11-26,MOMMAS,"May honorees, colloquially",2016,Saturday
57438,2016-11-22,MAV,"Dallas cager, informally",2016,Tuesday
57424,2016-11-22,CHOPS,"Musical talent, informally",2016,Tuesday
57585,2016-11-24,TMEN,"Some investigators, informally",2016,Thursday
57602,2016-11-24,LOTSA,"Tons of, informally",2016,Thursday
57550,2016-11-23,ADREP,"Noneditorial magazine worker, informally",2016,Wednesday
58810,2016-12-08,POM,"Small dog, informally",2016,Thursday
60065,2016-12-24,TRYHARD,"Slacker's opposite, in modern lingo",2016,Saturday
60052,2016-12-24,SHAWTY,"Attractive young woman, in rap slang",2016,Saturday
60209,2016-12-25,CLAM,"Dollar, in slang",2016,Sunday
59978,2016-12-22,POD,"Peeved, informally",2016,Thursday
60235,2016-12-25,TRASH,"Wreck, informally",2016,Sunday
60549,2016-12-29,FROYO,"Often-swirled food, informally",2016,Thursday
60559,2016-12-29,FWIW,Qualifier in texts,2016,Thursday
60676,2016-12-31,DAS,"Analogues of circuit solicitors, informally",2016,Saturday
60598,2016-12-30,PHI,"___ Bete (honor society member, informally)",2016,Friday
58921,2016-12-10,ERS,"Medevac destinations, informally",2016,Saturday
58942,2016-12-10,ROO,"Baby boomer, in Aussie slang",2016,Saturday
58970,2016-12-11,SLED,"Skimobile, informally",2016,Sunday
59533,2016-12-17,PRE,"TSA ___ (airport screening program, informally)",2016,Saturday
59322,2016-12-15,RAGES,"Parties hard, in modern lingo",2016,Thursday
54395,2016-10-16,TLC,"Giving chicken soup or a foot rub, informally",2016,Sunday
54860,2016-10-22,BOGARTS,"Uses without sharing, in slang",2016,Saturday
55002,2016-10-23,HOTLEAD,"Fired bullets, informally",2016,Sunday
54942,2016-10-23,UNDAY,"International observance in 20-Down, informally",2016,Sunday
54930,2016-10-23,ORANG,"Certain swinger, informally",2016,Sunday
54551,2016-10-18,VOCAB,"Stock of words, informally",2016,Tuesday
54730,2016-10-20,CALC,"Advanced high school class, informally",2016,Thursday
54758,2016-10-20,BIO,"Science class, informally",2016,Thursday
53368,2016-10-03,GAT,"Gun, in old mob slang",2016,Monday
53408,2016-10-04,KNUCKLESANDWICH,"Punch in the mouth, slangily",2016,Tuesday
53554,2016-10-06,LAT,"Back muscle, informally",2016,Thursday
53355,2016-10-03,EENSY,"Minuscule, informally",2016,Monday
53338,2016-10-03,ADMIN,"Server overseer, informally",2016,Monday
53905,2016-10-10,FAVE,"Top choice, informally",2016,Monday
53842,2016-10-09,PHAT,"Cool, in old slang",2016,Sunday
54029,2016-10-11,ANON,"Unknown source, informally",2016,Tuesday
53817,2016-10-09,PARAS,"Law office staffers, informally",2016,Sunday
53746,2016-10-08,WORD,"""I agree,"" in slang",2016,Saturday
56323,2016-11-08,CORDS,"Ribbed pants, informally",2016,Tuesday
56374,2016-11-09,ARTOO,"""Star Wars"" droid, informally",2016,Wednesday
56352,2016-11-08,TECS,"Private eyes, in slang",2016,Tuesday
56080,2016-11-06,HOG,"Harley, in slang",2016,Sunday
56194,2016-11-06,SLAG,"Criticize, in British slang",2016,Sunday
56190,2016-11-06,UNI,"Athlete's wear, informally",2016,Sunday
55312,2016-10-27,FAV,"Like on Twitter, informally",2016,Thursday
55255,2016-10-26,DOGS,"Feet, slangily",2016,Wednesday
55457,2016-10-29,INHALE,"Eat fast, slangily",2016,Saturday
55373,2016-10-28,LIFEHACK,"Everyday productivity enhancer, in modern lingo",2016,Friday
55080,2016-10-24,IMO,"""As I see it,"" in texts",2016,Monday
55200,2016-10-25,SUB,"Teacher who may get no respect, informally",2016,Tuesday
55154,2016-10-25,LAV,"""Facilities,"" informally",2016,Tuesday
55788,2016-11-02,IDOL,"Kelly Clarkson was the first one, informally",2016,Wednesday
55923,2016-11-03,JAZZ,"Meaningless talk, in slang",2016,Thursday
55653,2016-10-31,ESP,"Psychic power, informally",2016,Monday
35439,2016-03-02,REPOS,"Some used cars, informally",2016,Wednesday
35380,2016-03-01,ORANG,"Sumatran swinger, informally",2016,Tuesday
35532,2016-03-03,DEFLATEGATE,"Gridiron scandal of 2015, informally",2016,Thursday
35824,2016-03-06,RELO,"Move, informally",2016,Sunday
36017,2016-03-09,TPS,"Pulls a certain prank on, informally",2016,Wednesday
35794,2016-03-06,NEOS,"Modernists, informally",2016,Sunday
34931,2016-02-25,SOPH,"Second-class person, informally?",2016,Thursday
34871,2016-02-24,ARTOO,"""Star Wars"" droid, informally",2016,Wednesday
35012,2016-02-26,IMLIKE,"""My response was ...,"" informally",2016,Friday
34820,2016-02-23,ARNIE,"Golfer Palmer, informally",2016,Tuesday
37278,2016-03-24,UKE,"Hawaiian instrument, informally",2016,Thursday
37058,2016-03-21,PRENUPS,"Union agreements, informally?",2016,Monday
37042,2016-03-21,DIG,"Like, in slang",2016,Monday
37117,2016-03-22,MOJO,"Self-confidence, slangily",2016,Tuesday
37756,2016-03-30,SEMPERFI,"Motto for a 1-Down, informally",2016,Wednesday
37792,2016-03-30,UNI,"College, in Down Under slang",2016,Wednesday
37729,2016-03-30,KINDA,"Rather, informally",2016,Wednesday
37875,2016-04-01,DOGS,"Feet, in slang",2016,Friday
37671,2016-03-29,UKE,"Luau instrument, informally",2016,Tuesday
37594,2016-03-28,MAX,"Highest setting, informally",2016,Monday
36347,2016-03-13,NOOB,"Neophyte, in modern slang",2016,Sunday
36278,2016-03-12,SHREDS,"Does a virtuoso guitar solo, slangily",2016,Saturday
36330,2016-03-13,IDED,"Named, informally",2016,Sunday
36397,2016-03-13,SIBS,"Genealogical grouping, informally",2016,Sunday
36193,2016-03-11,GOES,"Says, informally",2016,Friday
36949,2016-03-20,GLUTE,"Muscle strengthened by a StairMaster, informally",2016,Sunday
36928,2016-03-20,BSCHOOL,"Wharton, e.g., informally",2016,Sunday
36954,2016-03-20,MODS,"Chat room policers, informally",2016,Sunday
36967,2016-03-20,UNIS,"Sports teams wear them, informally",2016,Sunday
36895,2016-03-20,IMO,"""Speaking personally ...,"" in texts",2016,Sunday
36910,2016-03-20,REP,"What they say about you, informally",2016,Sunday
36747,2016-03-18,PEEPS,"Friends, in slang",2016,Friday
36592,2016-03-16,VOL,"Tennessee athlete, informally",2016,Wednesday
36615,2016-03-16,REDINK,"Business losses, informally",2016,Wednesday
31640,2016-01-16,TUDE,"Swagger, slangily",2016,Saturday
31315,2016-01-12,REBS,"Lee side, informally",2016,Tuesday
31432,2016-01-13,PATS,"New England football team, informally",2016,Wednesday
32068,2016-01-21,SORTA,"In a way, informally",2016,Thursday
31871,2016-01-19,PIECE,"Gun, slangily",2016,Tuesday
30811,2016-01-06,TROU,"Pants, slangily",2016,Wednesday
30731,2016-01-05,LAME,"Not cool, informally",2016,Tuesday
31263,2016-01-11,IMO,"""As I see it,"" in textspeak",2016,Monday
30885,2016-01-07,THEOLDS,"Mom and dad, slangily",2016,Thursday
30917,2016-01-07,BESTIE,"Closest friend, informally",2016,Thursday
33492,2016-02-07,ADREP,"Person of account, informally?",2016,Sunday
33564,2016-02-08,NITTYGRITTY,"*Basics, informally",2016,Monday
33425,2016-02-07,TUDE,"Brashness, informally",2016,Sunday
33211,2016-02-04,EYEDOC,"Provider of contacts, informally",2016,Thursday
33743,2016-02-10,NOD,"Oscar nomination, informally",2016,Wednesday
33733,2016-02-10,ROIDS,"Bodybuilder's dirty secret, informally",2016,Wednesday
33778,2016-02-11,UNOS,"Big pizza chain, informally",2016,Thursday
33716,2016-02-10,CARB,"Potato or pasta, informally",2016,Wednesday
32533,2016-01-27,CIAGATE,"Affair that led to Scooter Libby's 2007 conviction, informally",2016,Wednesday
32607,2016-01-28,REP,"Good name, informally",2016,Thursday
32623,2016-01-28,NEOCON,"Former liberal, informally",2016,Thursday
32342,2016-01-24,TMAN,"Tax fraud detector, informally",2016,Sunday
33060,2016-02-02,FRO,"1960s Angela Davis do, informally",2016,Tuesday
32747,2016-01-30,SHREDS,"Viciously criticizes, informally",2016,Saturday
42994,2016-06-01,AANDM,"The N.C.A.A.'s Aggies, informally",2016,Wednesday
43017,2016-06-02,FRAT,"Brother's place, informally",2016,Thursday
42963,2016-06-01,SORTA,"To a degree, informally",2016,Wednesday
43105,2016-06-03,SIL,"Steven Van Zandt's role on ""The Sopranos,"" informally",2016,Friday
43098,2016-06-03,MERCEDES,"Car mentioned in ""Hotel California,"" informally",2016,Friday
43141,2016-06-03,TILNOW,"So far, informally",2016,Friday
43049,2016-06-02,XENA,"""Hercules"" spinoff, informally",2016,Thursday
42840,2016-05-30,OSAMA,"Target of a decade-long manhunt, informally",2016,Monday
42827,2016-05-30,KEEPITREAL,"Stay authentic, colloquially",2016,Monday
43503,2016-06-07,DIS,"Insult, informally",2016,Tuesday
43499,2016-06-07,OTOH,"""Looking at it a different way,"" in texts",2016,Tuesday
43508,2016-06-07,TROU,"Pants, in slang",2016,Tuesday
43596,2016-06-09,DEF,"Cool, in hip-hop slang",2016,Thursday
43214,2016-06-04,THEBURBS,"Area with lawns and picket fences, informally",2016,Saturday
43159,2016-06-04,MAD,"Extremely, in modern lingo",2016,Saturday
41880,2016-05-19,REP,"Agent, informally",2016,Thursday
42402,2016-05-25,CRAY,"Bonkers, in modern lingo",2016,Wednesday
42335,2016-05-24,SKED,"Timetable, informally",2016,Tuesday
44997,2016-06-26,DEETS,"Particulars, in slang",2016,Sunday
45030,2016-06-26,PAREE,"City of Light, informally",2016,Sunday
44939,2016-06-25,NOMS,"List in an actor's résumé, informally",2016,Saturday
44658,2016-06-21,CAMI,"Victoria's Secret buy, informally",2016,Tuesday
45405,2016-06-30,SPONGES,"Heavy drinkers, informally",2016,Thursday
45416,2016-06-30,ZERO,"Loser, informally",2016,Thursday
45441,2016-07-01,ISO,"One-on-one basketball play, slangily",2016,Friday
45114,2016-06-27,DIS,"Insult, slangily",2016,Monday
45164,2016-06-27,ECIG,"Vaping need, informally",2016,Monday
44047,2016-06-14,EDZWICK,"""Legends of the Fall"" director, informally",2016,Tuesday
43661,2016-06-09,TBONED,"Broadsided, informally",2016,Thursday
43769,2016-06-11,SODOPE,"Way cool, in modern lingo",2016,Saturday
44542,2016-06-20,CLEO,"Queen of the Nile, informally",2016,Monday
44176,2016-06-15,OCD,"Condition affecting TV's Monk, informally",2016,Wednesday
44195,2016-06-16,NOIRS,"Dark films, informally",2016,Thursday
44113,2016-06-15,ITSY,"Tiny, informally",2016,Wednesday
39312,2016-04-17,GFS,"Guys' dates, informally",2016,Sunday
39351,2016-04-18,GROK,"Grasp, in slang",2016,Monday
39261,2016-04-17,BRAT,"Seasoned pork sausage, informally",2016,Sunday
39285,2016-04-17,SCOOB,"Cartoon Great Dane, informally",2016,Sunday
39278,2016-04-17,SHAMUS,"P.I., in old slang",2016,Sunday
38894,2016-04-13,NEOS,"Modernists, informally",2016,Wednesday
39032,2016-04-15,FALSIES,"Artificial eyelashes, informally",2016,Friday
39689,2016-04-23,RAGEQUIT,"Give up out of frustration, in slang",2016,Saturday
39408,2016-04-19,MIDDIE,"Navy student, informally",2016,Tuesday
39402,2016-04-19,CARDS,"2011 World Series champs, informally",2016,Tuesday
39580,2016-04-21,MEDS,"Pharmacy stock, informally",2016,Thursday
38294,2016-04-05,OWNS,"Dominates, informally",2016,Tuesday
38021,2016-04-03,LIBS,"The left, informally",2016,Sunday
38838,2016-04-12,PIECE,"Firearm, slangily",2016,Tuesday
38870,2016-04-12,THREADS,"Clothes, slangily",2016,Tuesday
38441,2016-04-07,ABALL,"Level near the bottom of the minors, informally",2016,Thursday
41082,2016-05-09,REPO,"Seized vehicle, informally",2016,Monday
41069,2016-05-09,LOOIE,"Officer below a captain, slangily",2016,Monday
41052,2016-05-09,PREK,"Nursery school, informally",2016,Monday
41248,2016-05-11,WAY,"Very, informally",2016,Wednesday
40829,2016-05-06,DECO,"Miami Beach architectural style, informally",2016,Friday
41545,2016-05-15,CAVS,"Cleveland team, informally",2016,Sunday
41633,2016-05-16,OLDS,"Cutlass or 88, informally",2016,Monday
41616,2016-05-16,IDING,"Picking out of a lineup, informally",2016,Monday
40174,2016-04-28,HORSES,"Power measures, informally",2016,Thursday
40093,2016-04-27,TIL,"Up to, informally",2016,Wednesday
40253,2016-04-29,TREY,"Shot from behind the arc, informally",2016,Friday
40289,2016-04-30,SHOPVAC,"Woodworker's device, informally",2016,Saturday
40053,2016-04-27,CAVED,"Acceded, informally",2016,Wednesday
40720,2016-05-05,RIPLEYS,"Classic Sunday newspaper feature that spawned multiple museums, informally",2016,Thursday
40377,2016-05-01,HOMIE,"Good friend, informally",2016,Sunday
40487,2016-05-02,SYNCS,"Harmonizes, informally",2016,Monday
80933,2017-09-01,TRINI,"Certain Caribbean islander, informally",2017,Friday
81086,2017-09-03,SYNTH,"Big instrument in electronic music, informally",2017,Sunday
80653,2017-08-28,BEANTOWN,"Boston, informally",2017,Monday
80642,2017-08-28,VITTLES,"Food, informally",2017,Monday
80869,2017-08-31,GMAN,"F.B.I. agent, informally",2017,Thursday
81578,2017-09-09,LATENITE,"Time for many TV talk shows, informally",2017,Saturday
81483,2017-09-08,NIC,"Actor Cage, informally",2017,Friday
81190,2017-09-04,MILITARYBRATS,"Children of armed forces personnel, slangily",2017,Monday
81289,2017-09-05,DARNEDEST,"Utmost, informally",2017,Tuesday
81248,2017-09-05,HAWAIIANAIR,"Honolulu-based carrier, informally",2017,Tuesday
81268,2017-09-05,CAMOPANTS,"Military bottoms, informally",2017,Tuesday
79772,2017-08-18,AGRIBIZ,"Growing industry, informally?",2017,Friday
79797,2017-08-18,RHINO,"Safari sighting, informally",2017,Friday
79695,2017-08-17,OLDS,"Delta 88, e.g., informally",2017,Thursday
79726,2017-08-17,SECOND,"Baseball position, informally",2017,Thursday
79808,2017-08-19,FIVELOVE,"Score after opening with an ace, informally",2017,Saturday
79851,2017-08-19,ROSIES,"Female factory workers in W.W. II, informally",2017,Saturday
80571,2017-08-27,REPO,"Certain cheap car, informally",2017,Sunday
80299,2017-08-24,NIC,"Actor Cage, informally",2017,Thursday
80327,2017-08-25,HELLA,"Extremely, in slang",2017,Friday
82875,2017-09-24,TOPHOLE,"First-rate, in British slang",2017,Sunday
82786,2017-09-24,SHAMUS,"Private eye, slangily",2017,Sunday
83463,2017-10-01,BOCA,"Florida beach city, informally",2017,Sunday
83024,2017-09-26,BRIT,"Subject of Queen Elizabeth, informally",2017,Tuesday
83190,2017-09-28,TIMS,"Popular beige work boots, colloquially",2017,Thursday
83189,2017-09-28,ITEN,"Cross-country route, informally",2017,Thursday
83160,2017-09-28,ODS,"Consumes too much, informally",2017,Thursday
82029,2017-09-14,RASTAS,"Some Jamaicans, informally",2017,Thursday
81977,2017-09-13,LID,"Hat, informally",2017,Wednesday
81972,2017-09-13,HELLA,"Very, in slang",2017,Wednesday
81760,2017-09-11,PROF,"College teacher, informally",2017,Monday
82380,2017-09-18,THEDONALD,"Ex of Marla and Ivana, informally",2017,Monday
82389,2017-09-18,IDED,"Picked out of a lineup, informally",2017,Monday
82302,2017-09-17,STEPH,"The N.B.A.'s Curry, informally",2017,Sunday
82501,2017-09-20,JOE,"Diner cupful, slangily",2017,Wednesday
82445,2017-09-19,LEGS,"Staying power, informally",2017,Tuesday
77106,2017-07-16,CIV,"Western ___ (college course, informally)",2017,Sunday
77282,2017-07-19,ROID,"Antidoping target, informally",2017,Wednesday
76895,2017-07-15,AMAZEBALLS,"Incredible, in modern slang",2017,Saturday
76957,2017-07-15,SOBAD,"Desperately, informally",2017,Saturday
77635,2017-07-23,PENPUSHER,"One doing routine office work, informally [5]",2017,Sunday
76840,2017-07-14,PIPES,"Singing ability, informally",2017,Friday
77464,2017-07-21,BAJA,"State bordering California, informally",2017,Friday
76166,2017-07-05,NTESTS,"Nonproliferation treaty subjects, informally",2017,Wednesday
76336,2017-07-08,LOTTA,"Bunch of, informally",2017,Saturday
76258,2017-07-07,INSTA,"Photo app, slangily",2017,Friday
76121,2017-07-05,FAM,"One's nearest and dearest, informally",2017,Wednesday
76026,2017-07-03,BOD,"Physique, informally",2017,Monday
76827,2017-07-13,ITEN,"Major thoroughfare through Houston, informally",2017,Thursday
76422,2017-07-09,BAE,"Sweetheart, in slang",2017,Sunday
76838,2017-07-14,POL,"Washington insider, informally",2017,Friday
79085,2017-08-10,GRAPE,"Wine, informally, with ""the""",2017,Thursday
79020,2017-08-09,LEO,"Soccer's Messi, informally",2017,Wednesday
78850,2017-08-07,BANDB,"Inn, informally",2017,Monday
78829,2017-08-06,HANGSITUP,"Quits, informally",2017,Sunday
78756,2017-08-06,ROSCOE,"Revolver, in Roaring Twenties slang",2017,Sunday
78948,2017-08-08,NARC,"Drug informant, informally",2017,Tuesday
79545,2017-08-15,STANDINGO,"Rousing audience response, informally",2017,Tuesday
79292,2017-08-13,MOMA,"Home of van Gogh's ""The Starry Night,"" informally",2017,Sunday
79228,2017-08-12,CANTAB,"Cambridge student, informally",2017,Saturday
79403,2017-08-13,NOOB,"Neophyte, informally",2017,Sunday
78079,2017-07-29,NOBIG,"""Don't worry about it,"" slangily",2017,Saturday
78215,2017-07-30,ABOMB,"Little Boy, e.g., informally",2017,Sunday
77817,2017-07-25,UMP,"Call balls and strikes, informally",2017,Tuesday
77972,2017-07-27,STPETE,"One end of the Sunshine Skyway Bridge, informally",2017,Thursday
77950,2017-07-27,TIL,"Up to, informally",2017,Thursday
78599,2017-08-04,BIGA,"N.Y.C. racetrack, informally",2017,Friday
78331,2017-07-31,WHIZ,"Expert, informally",2017,Monday
78392,2017-08-01,HERB,"Marijuana, slangily",2017,Tuesday
88676,2017-12-03,SLAYS,"Looks fabulous, in slang",2017,Sunday
88626,2017-12-03,REP,"Do sales work, informally",2017,Sunday
88293,2017-11-28,EXEC,"One high up on the corporate ladder, informally",2017,Tuesday
88330,2017-11-29,HOJO,"Iconic chain restaurant, informally",2017,Wednesday
88233,2017-11-27,TIL,"Up to, informally",2017,Monday
88428,2017-11-30,TTYL,"""Gotta go,"" in textspeak",2017,Thursday
89003,2017-12-07,KSTATE,"The Wildcats of the Big 12 Conference, informally",2017,Thursday
89118,2017-12-08,BUZZ,"Telephone, informally",2017,Friday
89064,2017-12-08,POPO,"Law force, slangily",2017,Friday
87316,2017-11-17,PRU,"Aetna rival, informally",2017,Friday
87407,2017-11-18,ELROPO,"Cheap cigar, slangily",2017,Saturday
88038,2017-11-26,DECO,"Style of Radio City Music Hall, informally",2017,Sunday
88164,2017-11-27,SAC,"___ fly (certain baseball out, informally)",2017,Monday
88148,2017-11-26,TICOS,"Costa Ricans, in slang",2017,Sunday
87977,2017-11-25,SOCKO,"Super, slangily",2017,Saturday
90381,2017-12-24,INK,"Skin art, informally",2017,Sunday
90596,2017-12-26,JOE,"Coffee, slangily",2017,Tuesday
90241,2017-12-22,ICEMAN,"Unemotional sort, in slang",2017,Friday
90247,2017-12-22,PONG,"Game with a 40-millimeter ball, informally",2017,Friday
91027,2017-12-31,ETS,"Targets in ""Men in Black,"" informally",2017,Sunday
90995,2017-12-31,SPOSE,"What if, informally",2017,Sunday
90830,2017-12-29,EXACTO,"""Precisely!,"" informally",2017,Friday
90762,2017-12-28,MUD,"Coffee, in slang",2017,Thursday
89432,2017-12-12,DOING,"""Nothing ___"" (slangy refusal)",2017,Tuesday
89980,2017-12-18,TEE,"Wearable souvenir, informally",2017,Monday
89891,2017-12-17,GROK,"Grasp, informally",2017,Sunday
90123,2017-12-20,ZIT,"Problem before a big date, informally",2017,Wednesday
90053,2017-12-19,TRIBORO,"New York City bridge, informally, with ""the""",2017,Tuesday
89709,2017-12-16,REALTALK,"""If I'm being honest,"" in modern slang",2017,Saturday
89835,2017-12-17,DEWS,"Certain soft drinks, informally",2017,Sunday
89823,2017-12-17,FINITO,"Done, slangily",2017,Sunday
84750,2017-10-17,INDY,"Archaeologist played by Harrison Ford, informally",2017,Tuesday
84775,2017-10-17,MEGS,"File size units, informally",2017,Tuesday
84891,2017-10-18,TEC,"Private eye, in old slang",2017,Wednesday
84792,2017-10-17,IBANKER,"Pro at building financial worth, slangily",2017,Tuesday
84510,2017-10-14,GEN,"Next ___ (emerging group of young leaders, informally)",2017,Saturday
84517,2017-10-14,BAJAN,"Person from Barbados, informally",2017,Saturday
84526,2017-10-15,JACK,"Steal, slangily",2017,Sunday
84489,2017-10-14,FLAKE,"Abandon plans, in modern slang",2017,Saturday
84463,2017-10-14,XWORD,"What you're solving, informally",2017,Saturday
85255,2017-10-23,PHAT,"Cool, in '90s slang",2017,Monday
85233,2017-10-22,THEFED,"Prime setter, informally",2017,Sunday
85193,2017-10-22,ADORBS,"Very cute, in slang",2017,Sunday
85325,2017-10-24,WILL,"Shakespeare, informally",2017,Tuesday
85371,2017-10-24,RIO,"2016 Olympics city, informally",2017,Tuesday
84999,2017-10-20,TATERS,"Things hashed and mashed, informally",2017,Friday
85089,2017-10-21,BACON,"Earnings, in slang",2017,Saturday
83749,2017-10-05,TMAN,"Prohibition enforcer, informally",2017,Thursday
83947,2017-10-08,PREGGERS,"With child, informally",2017,Sunday
83571,2017-10-02,VET,"One who's back from war, informally",2017,Monday
83542,2017-10-02,SHOTTOHELL,"Utterly ruined, informally",2017,Monday
84290,2017-10-11,DEF,"Cool, in dated slang",2017,Wednesday
84372,2017-10-12,ERDOC,"One who may order an operation, informally",2017,Thursday
84032,2017-10-08,SANFRAN,"City by the Bay, informally",2017,Sunday
84074,2017-10-08,ZIT,"Stridex target, informally",2017,Sunday
86704,2017-11-09,STOLI,"Absolut rival, informally",2017,Thursday
86397,2017-11-05,LAWD,"God, informally",2017,Sunday
86427,2017-11-06,ELI,"Yale student, informally",2017,Monday
86502,2017-11-07,ISM,"Belief, informally",2017,Tuesday
87135,2017-11-14,REP,"What people know about you, informally",2017,Tuesday
86888,2017-11-12,LOONIE,"Canadian coin, informally",2017,Sunday
86918,2017-11-12,GIS,"Ones in a mess, informally",2017,Sunday
86896,2017-11-12,NITES,"Dark times, informally",2017,Sunday
86810,2017-11-11,ILL,"Cool, in slang",2017,Saturday
87038,2017-11-13,JUICE,"Electricity, slangily",2017,Monday
87016,2017-11-13,DUBYA,"43rd U.S. president, informally",2017,Monday
86946,2017-11-12,SHAQ,"Laker legend with a size 22 sneaker, informally",2017,Sunday
86932,2017-11-12,MENTAL,"Deranged, in slang",2017,Sunday
85703,2017-10-29,PSYCH,"College department that might offer paid studies, informally",2017,Sunday
85785,2017-10-29,CSPOTS,"$100 bills, in slang",2017,Sunday
85614,2017-10-27,ACES,"Wonderful, in old slang",2017,Friday
86199,2017-11-03,UGLYCRY,"Intense sobbing with a contorted face, in modern lingo",2017,Friday
86152,2017-11-03,MIDS,"Naval Academy students, informally",2017,Friday
86097,2017-11-02,TOGS,"Attire, informally",2017,Thursday
86052,2017-11-01,TOONIE,"Canadian $2 coin, informally",2017,Wednesday
86044,2017-11-01,BRINY,"Sea, colloquially",2017,Wednesday
86088,2017-11-02,OWNS,"Trounces, slangily",2017,Thursday
85981,2017-10-31,RAGER,"Wild party, in slang",2017,Tuesday
65895,2017-03-04,BIGD,"Longtime Cotton Bowl home, informally",2017,Saturday
65806,2017-03-03,SAUSAGEDOG,"Dachshund, colloquially",2017,Friday
65530,2017-02-27,FEELME,"""Understand?,"" slangily",2017,Monday
65564,2017-02-28,BANDB,"Quaint inn, informally",2017,Tuesday
65634,2017-03-01,PBJ,"Lunchbox sandwich, informally",2017,Wednesday
65633,2017-03-01,SCAG,"Heroin, slangily",2017,Wednesday
65588,2017-02-28,FLICK,"Movie, informally",2017,Tuesday
66237,2017-03-08,DECO,"Empire State Building style, informally",2017,Wednesday
66278,2017-03-08,UKE,"Maui music maker, informally",2017,Wednesday
66366,2017-03-10,SETOFPIPES,"Powerful singer's asset, informally",2017,Friday
66380,2017-03-10,DUMPSTERFIRE,"Unmitigated disaster, in slang",2017,Friday
66301,2017-03-09,ACES,"First-class, in slang",2017,Thursday
66293,2017-03-09,MAV,"Dallas pro, informally",2017,Thursday
65929,2017-03-05,TRU,"Capote, informally",2017,Sunday
64803,2017-02-19,ATV,"Off-road transport, informally",2017,Sunday
64822,2017-02-19,JANKY,"Of poor quality, in modern slang",2017,Sunday
64931,2017-02-20,CLEO,"Marc Antony's lover, informally",2017,Monday
64917,2017-02-20,PICS,"Photos, informally",2017,Monday
65293,2017-02-25,BENT,"Corrupt, in British slang",2017,Saturday
65285,2017-02-25,ITSY,"Wee, informally",2017,Saturday
65415,2017-02-26,TAT,"Skin art, informally",2017,Sunday
65070,2017-02-22,TMI,"""You've said quite enough!,"" informally",2017,Wednesday
65002,2017-02-21,DCAREA,"Washington and environs, informally",2017,Tuesday
65205,2017-02-23,TAT,"Something you might get with a piercing, informally",2017,Thursday
65122,2017-02-22,PEDI,"Spa treatment, informally",2017,Wednesday
67682,2017-03-25,REB,"Fort Sumter victor, informally",2017,Saturday
67617,2017-03-25,BATTERYACID,"Coffee, in military slang",2017,Saturday
67436,2017-03-22,NARCOS,"D.E.A. agents, informally",2017,Wednesday
67539,2017-03-23,LINO,"Old typesetting machine, informally",2017,Thursday
68159,2017-03-31,TWOPENCE,"A trivial sum, informally",2017,Friday
67914,2017-03-28,TEE,"Shirt that might have a crew neck, informally",2017,Tuesday
67856,2017-03-27,IMPROV,"Unscripted comedy, informally",2017,Monday
67989,2017-03-29,FLAK,"Criticism, informally",2017,Wednesday
66708,2017-03-13,THEFED,"Organization for Janet Yellen, informally",2017,Monday
66639,2017-03-12,IWO,"1945 battle site, informally",2017,Sunday
66825,2017-03-15,OBIWAN,"""Star Wars"" knight, informally",2017,Wednesday
66577,2017-03-12,RELO,"Move, informally",2017,Sunday
66522,2017-03-12,EENSY,"Minuscule, informally",2017,Sunday
67117,2017-03-19,YUK,"Joke, slangily",2017,Sunday
61892,2017-01-15,TECHS,"Workers in some labs, informally",2017,Sunday
62083,2017-01-16,CAMO,"Duck-hunting attire, informally",2017,Monday
62099,2017-01-17,CINNAMONBUNS,"Hairstyle for 53-Across, colloquially",2017,Tuesday
62021,2017-01-16,GUTS,"Intestinal fortitude, informally",2017,Monday
62051,2017-01-16,PERP,"Arrested suspect, informally",2017,Monday
61731,2017-01-12,IMO,"""If you ask me ...,"" in texts",2017,Thursday
61737,2017-01-13,HOSE,"Defraud, in slang",2017,Friday
61792,2017-01-13,MAG,"Newsstand offering, informally",2017,Friday
62454,2017-01-22,REPROS,"Copies, informally",2017,Sunday
62417,2017-01-21,ADREP,"Seller of TV and magazine spots, informally",2017,Saturday
62205,2017-01-18,SNL,"TV show on which ""The Chanukah Song"" debuted, informally",2017,Wednesday
62199,2017-01-18,PALOOKAS,"Inept boxers, in slang",2017,Wednesday
62151,2017-01-17,TILNOW,"So far, informally",2017,Tuesday
